id,long,lat,linea,estacion,numero_de_,destino_bo,lineas_de_,cierra_fin,escalera_p,escalera_m,ascensor,rampa,salvaescal,calle,altura,calle2,barrio,comuna,observacio,Objeto,dom_norma,dom_orig
1,-58.3840678491549,-34.6021056176248,D,TRIBUNALES - TEATRO COLÓN,4,a Catedral y Congreso de Tucumán,,True,True,False,False,False,False,Libertad,556,,San Nicolas,Comuna 1,Andén central,Boca de subte,LIBERTAD 556,Libertad 556
2,-58.3843723055347,-34.6023944587686,D,TRIBUNALES - TEATRO COLÓN,5,a Catedral y Congreso de Tucumán,,True,True,False,False,False,False,Lavalle,1221,,San Nicolas,Comuna 1,Andén central,Boca de subte,LAVALLE 1221,Lavalle 1221
3,-58.3972499423143,-34.5878038772456,H,LAS HERAS,1,a Hospitales,,False,True,True,False,False,False,Pueyrredon,2199,,,,Vestíbulo intermedio,Boca de subte,,Pueyrredon 2199
4,-58.4039666149165,-34.5987326431427,H,CÓRDOBA,1,a Las Heras y Hopitales,,False,True,True,True,False,False,Pueyrredon,984,,,,Vestíbulo intermedio,Boca de subte,,Pueyrredon 984
5,-58.4054057644512,-34.6038839232256,H,CORRIENTES,6,a Las Heras y Hospitales,B,False,False,False,True,False,False,Pueyrredón,558,,,,Vestíbulo intermedio,Boca de subte,,Pueyrredón 558
6,-58.4052371934884,-34.604169687116,H,CORRIENTES,3,a Las Heras y Hospitales,B,False,True,False,False,False,False,Pueyrredón,539,,,,Vestíbulo intermedio,Boca de subte,,Pueyrredón 539
7,-58.4050865477138,-34.6035504029818,H,CORRIENTES,1,Salida únicamente,B,False,False,True,False,False,False,Pueyrredón,589,,,,Salida únicamente,Boca de subte,,Pueyrredón 589
8,-58.4053121101366,-34.6035012444988,H,CORRIENTES,2,a Las Heras y Hospitales,B,False,True,False,False,False,False,Pueyrredón,590,,,,Vestíbulo intermedio,Boca de subte,,Pueyrredón 590
9,-58.4053520242245,-34.6036782701799,H,CORRIENTES,4,Salida únicamente,B,False,False,True,False,False,False,Pueyrredón,574,,,,Salida únicamente,Boca de subte,,Pueyrredón 574
10,-58.3973860117587,-34.6230746589813,E,PICHINCHA,1,a Retiro y Plaza de los Virreyes,,False,True,False,False,False,False,San Juan,2277,,,,Vestíbulo intermedio,Boca de subte,,San Juan 2277
11,-58.3970349162311,-34.6230276879668,E,PICHINCHA,3,a Retiro y Plaza de los Virreyes,,False,True,False,False,False,False,San Juan,2245,,,,Vestíbulo intermedio,Boca de subte,,San Juan 2245
12,-58.3973383456719,-34.6232758394604,E,PICHINCHA,4,a Retiro y Plaza de los Virreyes,,False,True,False,False,False,False,San Juan,2266,,,,Vestíbulo intermedio,Boca de subte,,San Juan 2266
13,-58.3969905337852,-34.6232315157021,E,PICHINCHA,2,a Retiro y Plaza de los Virreyes,,False,True,False,False,False,False,San Juan,2254,,,,Vestíbulo intermedio,Boca de subte,,San Juan 2254
14,-58.3917454880174,-34.6226516085745,E,ENTRE RIOS - RODOLFO WALSH,1,a Retiro y Plaza de los Virreyes,,False,True,False,False,False,False,San Juan,1809,,,,Vestíbulo intermedio,Boca de subte,,San Juan 1809
15,-58.4551830835685,-34.5867982838458,B,FEDERICO LACROZE,6,a L. N. Alem,,False,True,False,False,False,False,Federico Lacroze,680,,,,Andén a Leandro N. Alem,Boca de subte,,Federico Lacroze 680
16,-58.4056377847633,-34.6047427980509,B,PUEYRREDON,2,a L. N. Alem y J. M. de Rosas,H,False,True,False,False,False,False,Pueyrredón,496,,,,Vestíbulo intermedio,Boca de subte,,Pueyrredón 496
17,-58.4055197713612,-34.6043682500182,B,PUEYRREDON,1,a L. N. Alem y J. M. de Rosas,H,False,True,False,False,False,False,Pueyrredón,510,,,,Vestíbulo intermedio,Boca de subte,,Pueyrredón 510
18,-58.3982823428569,-34.6095432874133,A,PASCO,3,a Plaza de Mayo,,False,True,False,False,False,False,Rivadavia,2243,,,,Solo anden a Plaza de Mayo,Boca de subte,,Rivadavia 2243
19,-58.3986691942837,-34.609570070278,A,PASCO,1,a Plaza de Mayo,,False,True,False,False,False,False,Rivadavia,2283,,,,Solo anden a Plaza de Mayo,Boca de subte,,Rivadavia 2283
20,-58.392680374036,-34.6091377398446,A,CONGRESO - PDTE. DR. RAÚL ALFONSÍN,1,a Plaza de Mayo,,False,True,False,False,False,False,Rivadavia,1837,,,,Solo anden a Plaza de Mayo,Boca de subte,,Rivadavia 1837
21,-58.3930104502719,-34.609349615745,A,CONGRESO - PDTE. DR. RAÚL ALFONSÍN,2,Salida unicamente,,False,False,True,False,False,False,Rivadavia,1864,,,,Salida unicamente,Boca de subte,,Rivadavia 1864
22,-58.3926626257408,-34.6093309032097,A,CONGRESO - PDTE. DR. RAÚL ALFONSÍN,4,a San Pedrito,,False,True,False,False,False,False,Rivadavia,1820,,,,Solo anden a San Pedrito,Boca de subte,,Rivadavia 1820
23,-58.3923680169221,-34.6091050490805,A,CONGRESO - PDTE. DR. RAÚL ALFONSÍN,3,Salida unicamente,,False,False,True,False,False,False,Rivadavia,1815,,,,Salida unicamente,Boca de subte,,Rivadavia 1815
24,-58.4028219030811,-34.5952234173066,D,PUEYRREDON,3,a Catedral y Congreso de Tucumán,H,False,True,False,False,False,False,Puerredón,1340,,,,Andén central,Boca de subte,,Puerredón 1340
25,-58.3706685126922,-34.6087035224052,A,PLAZA DE MAYO,3,a San Pedrito,,False,True,False,False,False,False,Hipólito Yrigoyen,299,,Monserrat,Comuna 1,Andén Central,Boca de subte,"YRIGOYEN, HIPOLITO AV. 299",Hipólito Yrigoyen 299
26,-58.3699970382755,-34.6089412404332,A,PLAZA DE MAYO,2,a San Pedrito,,False,True,False,False,False,False,Hipólito Yrigoyen,250,,Monserrat,Comuna 1,Andén Central,Boca de subte,"YRIGOYEN, HIPOLITO AV. 250",Hipólito Yrigoyen 250
27,-58.3718161353078,-34.6087869119957,A,PLAZA DE MAYO,1,a San Pedrito,,True,True,False,False,False,False,Hipólito Yrigoyen,399,,Monserrat,Comuna 1,Andén Central,Boca de subte,"YRIGOYEN, HIPOLITO AV. 399",Hipólito Yrigoyen 399
